Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,igseq_BarcodeFwd,igseq_BarcodeRev,igseq_Chain,igseq_Run,igseq_Specimen_CellCount,igseq_Specimen_CellType,igseq_Specimen,igseq_Specimen_Subject,igseq_Specimen_Timepoint,igseq_Type,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR33160203,missing,AMPLICON,605,237507875,PRJNA1121265,SAMN48011531,Model organism or animal,132840459,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421271,uncalculated,uncalculated,missing,2,17,heavy,200911_M00281_0631_000000000-J6446,60000,IgG+,RM6561WK88IGG,6561,88,gamma,Illumina MiSeq,6561,RM6561WK88GH2,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM6561WK88GH2,missing,SRP512417,missing
SRR33160204,missing,AMPLICON,604,1079869856,PRJNA1121265,SAMN48011611,Model organism or animal,708879304,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421270,uncalculated,uncalculated,missing,3,18,heavy,210903_M05588_0451_000000000-JWNMW,560000,IgG+,RM40591WK88IGG,40591,88,gamma,Illumina MiSeq,40591,RM40591WK88GH,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM40591WK88GH,missing,SRP512417,missing
SRR33160205,missing,AMPLICON,602,1214008852,PRJNA1121265,SAMN48011610,Model organism or animal,697222191,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421269,uncalculated,uncalculated,missing,5,13,light,210806_M05588_0442_000000000-JVB6K,186000,IgG+,RM41328WK64IGG,41328,64,lambda,Illumina MiSeq,41328,RM41328WK64GL,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RM41328WK64GL,missing,SRP512417,missing
SRR33160206,missing,AMPLICON,605,7333084000,PRJNA1121265,SAMN48011609,Model organism or animal,4816564418,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421268,uncalculated,uncalculated,missing,2,16,heavy,210903_M05588_0451_000000000-JWNMW,186000,IgG+,RM41328WK64IGG,41328,64,gamma,Illumina MiSeq,41328,RM41328WK64GH,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:52:00Z,1,RM41328WK64GH,missing,SRP512417,missing
SRR33160207,missing,AMPLICON,603,2270984832,PRJNA1121265,SAMN48011608,Model organism or animal,1254966036,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421267,uncalculated,uncalculated,missing,4,8,light,210806_M05588_0442_000000000-JVB6K,91000,IgG+,RM6070WK16IGG,6070,16,kappa,Illumina MiSeq,6070,RM6070WK16GK,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RM6070WK16GK,missing,SRP512417,missing
SRR33160208,missing,AMPLICON,606,802006458,PRJNA1121265,SAMN48011607,Model organism or animal,629576257,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421266,uncalculated,uncalculated,missing,1,17,heavy,211105_M05588_0469_000000000-JWV49,91000,IgG+,RM6070WK16IGG,6070,16,gamma,Illumina MiSeq,6070,RM6070WK16GH,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM6070WK16GH,missing,SRP512417,missing
SRR33160209,missing,AMPLICON,603,1850809608,PRJNA1121265,SAMN48011606,Model organism or animal,1228476899,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421265,uncalculated,uncalculated,missing,4,19,heavy,210723_M00281_0056_000000000-JVH2T,1300000,IgG+,RMV033WK20IGG,V033,20,gamma,Illumina MiSeq,V033,RMV033WK20GH4,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:50:00Z,1,RMV033WK20GH4,missing,SRP512417,missing
SRR33160210,missing,AMPLICON,606,7630195692,PRJNA1121265,SAMN48011605,Model organism or animal,4789504769,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421264,uncalculated,uncalculated,missing,6,7,light,210723_M00281_0056_000000000-JVH2T,900000,IgG+,RMV033WK12IGG,V033,12,kappa,Illumina MiSeq,V033,RMV033WK12GK5alt,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:52:00Z,1,RMV033WK12GK5alt,missing,SRP512417,missing
SRR33160211,missing,AMPLICON,606,2391618390,PRJNA1121265,SAMN48011604,Model organism or animal,1503382090,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421263,uncalculated,uncalculated,missing,6,8,light,210723_M00281_0056_000000000-JVH2T,900000,IgG+,RMV033WK12IGG,V033,12,kappa,Illumina MiSeq,V033,RMV033WK12GK5,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RMV033WK12GK5,missing,SRP512417,missing
SRR33160212,missing,AMPLICON,605,1280602290,PRJNA1121265,SAMN48011603,Model organism or animal,857502365,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421262,uncalculated,uncalculated,missing,2,17,heavy,210723_M00281_0056_000000000-JVH2T,900000,IgG+,RMV033WK12IGG,V033,12,gamma,Illumina MiSeq,V033,RMV033WK12GH5,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RMV033WK12GH5,missing,SRP512417,missing
SRR33160213,missing,AMPLICON,603,1117533267,PRJNA1121265,SAMN48011602,Model organism or animal,782975786,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421261,uncalculated,uncalculated,missing,4,19,heavy,210723_M05588_0438_000000000-JV83N,1300000,IgG+,RMV033WK20IGG,V033,20,gamma,Illumina MiSeq,V033,RMV033WK20GH3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:50:00Z,1,RMV033WK20GH3,missing,SRP512417,missing
SRR33160214,missing,AMPLICON,606,420908208,PRJNA1121265,SAMN48011530,Model organism or animal,237014976,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421260,uncalculated,uncalculated,missing,1,16,heavy,200911_M00281_0631_000000000-J6446,70000,IgG+,RM6561WK80IGG,6561,80,gamma,Illumina MiSeq,6561,RM6561WK80GH2,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM6561WK80GH2,missing,SRP512417,missing
SRR33160215,missing,AMPLICON,606,1093025838,PRJNA1121265,SAMN48011579,Model organism or animal,676102720,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421259,uncalculated,uncalculated,missing,6,20,heavy,210617_M05588_0426_000000000-JRJ2R,198000,IgG+,RM42056WK88IGG,42056,88,gamma,Illumina MiSeq,42056,RM42056WK88GH,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RM42056WK88GH,missing,SRP512417,missing
SRR33160216,missing,AMPLICON,604,6018623232,PRJNA1121265,SAMN48011578,Model organism or animal,3764265386,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421258,uncalculated,uncalculated,missing,18,8,light,210521_M00281_0029_000000000-JMH9D,590000,IgG+,RM6070WK20IGG,6070,20,kappa,Illumina MiSeq,6070,RM6070WK20GK4,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:54:00Z,1,RM6070WK20GK4,missing,SRP512417,missing
SRR33160217,missing,AMPLICON,606,5121424170,PRJNA1121265,SAMN48011577,Model organism or animal,3088434788,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421257,uncalculated,uncalculated,missing,6,20,heavy,210519_M05588_0415_000000000-JHYMH,462000,IgG+,RM40591WK128IGG,40591,128,gamma,Illumina MiSeq,40591,RM40591WK128GH5,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:50:00Z,1,RM40591WK128GH5,missing,SRP512417,missing
SRR33160218,missing,AMPLICON,604,1121139364,PRJNA1121265,SAMN48011576,Model organism or animal,699574522,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421256,uncalculated,uncalculated,missing,18,8,light,210514_M05588_0413_000000000-JHYWC,590000,IgG+,RM6070WK20IGG,6070,20,kappa,Illumina MiSeq,6070,RM6070WK20GK3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM6070WK20GK3,missing,SRP512417,missing
SRR33160219,missing,AMPLICON,605,5400291710,PRJNA1121265,SAMN48011575,Model organism or animal,3384802810,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421255,uncalculated,uncalculated,missing,2,11,light,210514_M05588_0413_000000000-JHYWC,219000,IgG+,RM41328WK72IGG,41328,72,lambda,Illumina MiSeq,41328,RM41328WK72GL2,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:52:00Z,1,RM41328WK72GL2,missing,SRP512417,missing
SRR33160220,missing,AMPLICON,604,425720340,PRJNA1121265,SAMN48011574,Model organism or animal,322563252,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421254,uncalculated,uncalculated,missing,18,8,light,210507_M05588_0411_000000000-JMH2W,590000,IgG+,RM6070WK20IGG,6070,20,kappa,Illumina MiSeq,6070,RM6070WK20GK2,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM6070WK20GK2,missing,SRP512417,missing
SRR33160221,missing,AMPLICON,605,3232323215,PRJNA1121265,SAMN48011573,Model organism or animal,2043425995,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421253,uncalculated,uncalculated,missing,17,20,heavy,210514_M00281_0026_000000000-JL5N2,590000,IgG+,RM6070WK20IGG,6070,20,gamma,Illumina MiSeq,6070,RM6070WK20GH2,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:50:00Z,1,RM6070WK20GH2,missing,SRP512417,missing
SRR33160222,missing,AMPLICON,606,5932093398,PRJNA1121265,SAMN48011572,Model organism or animal,3796107780,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421252,uncalculated,uncalculated,missing,1,19,heavy,210514_M00281_0026_000000000-JL5N2,219000,IgG+,RM41328WK72IGG,41328,72,gamma,Illumina MiSeq,41328,RM41328WK72GH2,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:51:00Z,1,RM41328WK72GH2,missing,SRP512417,missing
SRR33160223,missing,AMPLICON,605,206738785,PRJNA1121265,SAMN48011527,Model organism or animal,107299755,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421251,uncalculated,uncalculated,missing,7,12,light,200904_M05588_0331_000000000-J6442,60000,IgG+,RM6561WK88IGG,6561,88,lambda,Illumina MiSeq,6561,RM6561WK88GL,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM6561WK88GL,missing,SRP512417,missing
SRR33160224,missing,AMPLICON,606,5628932808,PRJNA1121265,SAMN48011571,Model organism or animal,3780940434,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421250,uncalculated,uncalculated,missing,6,13,light,210423_M05588_0405_000000000-JLM2F,232000,IgG+,RMT646WK16IGG,T646,16,lambda,Illumina MiSeq,T646,RMT646WK16GL,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:52:00Z,1,RMT646WK16GL,missing,SRP512417,missing
SRR33160225,missing,AMPLICON,602,8288165032,PRJNA1121265,SAMN48011570,Model organism or animal,5208190660,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421249,uncalculated,uncalculated,missing,5,20,heavy,210430_M00281_0021_000000000-JMJ8T,232000,IgG+,RMT646WK16IGG,T646,16,gamma,Illumina MiSeq,T646,RMT646WK16GH,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:54:00Z,1,RMT646WK16GH,missing,SRP512417,missing
SRR33160226,missing,AMPLICON,604,2336229720,PRJNA1121265,SAMN48011569,Model organism or animal,1326559479,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421248,uncalculated,uncalculated,missing,3,9,light,210416_M00281_0015_000000000-JLRPF,462000,IgG+,RM40591WK128IGG,40591,128,kappa,Illumina MiSeq,40591,RM40591WK128GL3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RM40591WK128GL3,missing,SRP512417,missing
SRR33160227,missing,AMPLICON,606,4603688070,PRJNA1121265,SAMN48011568,Model organism or animal,2641308879,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421247,uncalculated,uncalculated,missing,1,7,light,210416_M00281_0015_000000000-JLRPF,700000,IgG+,RM40591WK96IGG,40591,96,kappa,Illumina MiSeq,40591,RM40591WK96GL3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:53:00Z,1,RM40591WK96GL3,missing,SRP512417,missing
SRR33160228,missing,AMPLICON,606,1945101834,PRJNA1121265,SAMN48011567,Model organism or animal,1255435547,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421246,uncalculated,uncalculated,missing,6,20,heavy,210413_M05588_0400_000000000-JLT9F,462000,IgG+,RM40591WK128IGG,40591,128,gamma,Illumina MiSeq,40591,RM40591WK128GH4,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:50:00Z,1,RM40591WK128GH4,missing,SRP512417,missing
SRR33160229,missing,AMPLICON,603,4704145308,PRJNA1121265,SAMN48011566,Model organism or animal,3019037943,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421245,uncalculated,uncalculated,missing,4,19,heavy,210413_M05588_0400_000000000-JLT9F,700000,IgG+,RM40591WK96IGG,40591,96,gamma,Illumina MiSeq,40591,RM40591WK96GH4,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:50:00Z,1,RM40591WK96GH4,missing,SRP512417,missing
SRR33160230,missing,AMPLICON,606,2510281068,PRJNA1121265,SAMN48011565,Model organism or animal,1692190820,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421244,uncalculated,uncalculated,missing,6,16,heavy,210324_M00281_0007_000000000-JLRFW,100000,IgG+,RM6561WK256IGG,6561,256,gamma,Illumina MiSeq,6561,RM6561WK256GH6,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RM6561WK256GH6,missing,SRP512417,missing
SRR33160231,missing,AMPLICON,605,2776020720,PRJNA1121265,SAMN48011564,Model organism or animal,1847028567,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421243,uncalculated,uncalculated,missing,2,17,heavy,210324_M00281_0007_000000000-JLRFW,60000,IgG+,RM6561WK88IGG,6561,88,gamma,Illumina MiSeq,6561,RM6561WK88GH3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:50:00Z,1,RM6561WK88GH3,missing,SRP512417,missing
SRR33160232,missing,AMPLICON,604,420487284,PRJNA1121265,SAMN48011563,Model organism or animal,253625308,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421242,uncalculated,uncalculated,missing,18,8,light,210319_M00281_0004_000000000-JJ3LL,590000,IgG+,RM6070WK20IGG,6070,20,kappa,Illumina MiSeq,6070,RM6070WK20GK,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RM6070WK20GK,missing,SRP512417,missing
SRR33160233,missing,AMPLICON,605,993701005,PRJNA1121265,SAMN48011562,Model organism or animal,621472769,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421241,uncalculated,uncalculated,missing,17,20,heavy,210401_M05588_0397_000000000-JLRG6,590000,IgG+,RM6070WK20IGG,6070,20,gamma,Illumina MiSeq,6070,RM6070WK20GH,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM6070WK20GH,missing,SRP512417,missing
